nohup: ignoring input
==============================================================
🦅 KIMIA GLOBAL — از رکورد تو به قدرت جهانی
==============================================================
👑 Owner: COMMANDER
🏛️  Official: KIMIA
🔐 Master Hash: 912a0c32a9158794
🔐 Signature: 8764a02e7f7710ee5277be777e659eaa
💼 Wallet: TKr9W9EBV7bPuyMuJiLbM4uJqUK5ei6B28

✅ API HTML: /data/data/com.termux/files/home/KIMIA_GLOBAL/api/index.html
✅ WIPO: /data/data/com.termux/files/home/KIMIA_GLOBAL/wipo/submission.txt
✅ Agent Report: /data/data/com.termux/files/home/KIMIA_GLOBAL/agent/report.txt
✅ Identity: /data/data/com.termux/files/home/KIMIA_GLOBAL/identity/identity.json

==============================================================
🎯 شروع شکار خودمختار...
==============================================================

[3] منابع:10/7 | BTC:$76794.7200 | USDT:229028.000 | ARB:-0.160% | فرصت:0
[6] منابع:9/7 | BTC:$76794.7200 | USDT:229028.000 | ARB:-0.160% | فرصت:0
[9] منابع:9/7 | BTC:$76806.0000 | USDT:229028.000 | ARB:-0.174% | فرصت:0
[12] منابع:9/7 | BTC:$76806.0100 | USDT:229028.000 | ARB:-0.174% | فرصت:0
[15] منابع:9/7 | BTC:$76810.5400 | USDT:229028.000 | ARB:-0.180% | فرصت:0
[18] منابع:9/7 | BTC:$76810.5400 | USDT:229028.000 | ARB:-0.180% | فرصت:0
[21] منابع:10/7 | BTC:$76810.5500 | USDT:229028.000 | ARB:-0.180% | فرصت:0
[24] منابع:10/7 | BTC:$76801.4900 | USDT:229028.000 | ARB:-0.168% | فرصت:0
[27] منابع:9/7 | BTC:$76801.4900 | USDT:229028.000 | ARB:-0.168% | فرصت:0
[30] منابع:7/7 | BTC:$76793.7900 | USDT:— | ARB:0% | فرصت:0
[33] منابع:9/7 | BTC:$76792.5400 | USDT:229028.000 | ARB:-0.157% | فرصت:0
[36] منابع:9/7 | BTC:$76772.0000 | USDT:229028.000 | ARB:-0.130% | فرصت:0
[39] منابع:9/7 | BTC:$76772.0000 | USDT:229028.000 | ARB:-0.130% | فرصت:0
[42] منابع:10/7 | BTC:$76772.0100 | USDT:229028.000 | ARB:-0.130% | فرصت:0
[45] منابع:9/7 | BTC:$76780.0000 | USDT:229028.000 | ARB:-0.140% | فرصت:0
[48] منابع:9/7 | BTC:$76793.7800 | USDT:229028.000 | ARB:-0.158% | فرصت:0
[51] منابع:9/7 | BTC:$76793.7700 | USDT:229028.000 | ARB:-0.158% | فرصت:0
